"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Andhra Pradesh","Guntur","2023-04-28","2023","04","21.6872187853","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-29","2023","04","21.4116192247","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-04-30","2023","04","22.9691834704","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-01","2023","04","19.3446360837","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-02","2023","04","20.1013828613","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-03","2023","04","22.0095947947","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-04","2023","04","21.5813541189","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-05","2023","04","20.9736359098","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-06","2023","04","20.408404497","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-07","2023","04","19.8887605007","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-08","2023","04","19.4088356558","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-09","2023","04","18.9602185733","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-10","2023","04","18.5364327","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-11","2023","04","18.1560029591","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-12","2023","04","17.8047463207","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-13","2023","04","17.4780666882","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-14","2023","04","17.1725656382","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-15","2023","04","16.8922456115","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-16","2023","04","16.6336351781","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-17","2023","04","16.3944838568","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-18","2023","04","16.1785262326","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-19","2023","04","15.9941475094","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-20","2023","04","15.8348471421","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-21","2023","04","15.6639560635","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-22","2023","04","15.6298227024","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-23","2023","04","15.526397997","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-24","2023","04","17.4206758572","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-25","2023","04","17.4612547639","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-26","2023","04","18.073107756","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-27","2023","04","17.6271751139","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-28","2023","04","17.3136982849","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-29","2023","04","17.032146642","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-04-30","2023","04","19.3599308832","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-01","2023","04","20.7121260029","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-04-02","2023","04","20.5704657965","NRSC VIC MODEL"
